DATE,Open,High,Low,Close,Volume
2012-12-31,12938.2,13109.1,12883.9,13104.1,1457.4
2012-12-28,13095.1,13095.5,12926.9,12938.1,859.8
2012-12-27,13115,13141.7,12964.1,13096.3,1001.6
2012-12-26,13138.9,13174.9,13076.9,13114.6,794.1
2012-12-25,            na,            na,            na,            na,            na
2012-12-24,13190.2,13190.4,13128.6,13138.9,477.1
2012-12-21,13310,13310,13122.5,13190.8,4132.7
2012-12-20,13246.7,13314.6,13216,13311.7,1198
2012-12-19,13351,13357.7,13251.7,13252,1490.2
2012-12-18,13236.6,13365.9,13232.6,13351,1529.2
2012-12-17,13135.2,13244.3,13134.6,13235.4,1429.8
2012-12-14,13170.8,13190.4,13118.5,13135,1176.2
2012-12-13,13241.4,13264.4,13147.2,13170.7,1011.9
2012-12-12,13250.1,13329.4,13227.4,13245.5,1275.1
2012-12-11,13170.3,13306.6,13170.3,13248.4,1245.1
2012-12-10,13154.9,13195.4,13139.1,13169.9,1185.3
2012-12-07,            na,            na,            na,            na,            na
2012-12-06,            na,            na,            na,            na,            na
2012-12-05,            na,            na,            na,            na,            na
2012-12-04,            na,            na,            na,            na,            na
2012-12-03,            na,            na,            na,            na,            na
2012-11-30,13022.1,13053.7,12988.7,13025.6,1710.7
2012-11-29,12977.4,13062.6,12961.9,13021.8,1136.2
2012-11-28,12875.6,12989.1,12765.3,12985.1,1310
2012-11-27,12963.4,12980.2,12868.3,12878.1,1179
2012-11-26,13008.5,13008.5,12900.2,12967.4,1143.6
2012-11-23,12833.1,13011.5,12833,13009.5,611.1
2012-11-22,            na,            na,            na,            na,            na
2012-11-21,12788.4,12846,12786.1,12836.9,973
2012-11-20,12790.9,12808.6,12701.1,12788.5,1341.6
2012-11-19,12590.2,12796.2,12590.2,12796,1369.1
2012-11-16,12542.3,12604.2,12471.5,12588.3,1971.1
2012-11-15,12571.1,12600.6,12496.6,12542.4,1291.5
2012-11-14,12746.5,12797.7,12542.7,12571,1621.8
2012-11-13,12808.7,12898.3,12748.5,12756.2,1422
2012-11-12,12815.9,12861.3,12783,12815.1,623.6
2012-11-09,            na,            na,            na,            na,            na
2012-11-08,            na,            na,            na,            na,            na
2012-11-07,            na,            na,            na,            na,            na
2012-11-06,            na,            na,            na,            na,            na
2012-11-05,            na,            na,            na,            na,            na
2012-11-02,            na,            na,            na,            na,            na
2012-11-01,            na,            na,            na,            na,            na
2012-10-31,13107.4,13189.1,13052.1,13096.5,1381.6
2012-10-30,            na,            na,            na,            na,            na
2012-10-29,            na,            na,            na,            na,            na
2012-10-26,13104.2,13151.7,13040.2,13107.2,1346.4
2012-10-25,13079.6,13214.1,13017.4,13103.7,1145.9
2012-10-24,13103.5,13155.2,13063.6,13077.3,1106.7
2012-10-23,13344.9,13344.9,13083.3,13102.5,1222.2
2012-10-22,13344.3,13368.6,13235.2,13345.9,1218.8
2012-10-19,13545.3,13545.5,13312.2,13343.5,2390.8
2012-10-18,13553.2,13588.7,13510.9,13548.9,1284.1
2012-10-17,13539.6,13561.7,13468.9,13557,1355.7
2012-10-16,13423.8,13556.4,13423.8,13551.8,1134.5
2012-10-15,13329.5,13437.7,13325.9,13424.2,1148.8
2012-10-12,13325.6,13401.3,13296.4,13328.9,1137.4
2012-10-11,13346.3,13428.5,13326.1,13326.4,866.3
2012-10-10,13473.5,13478.8,13327.6,13345,1011.2
2012-10-09,            na,            na,            na,            na,            na
2012-10-08,            na,            na,            na,            na,            na
2012-10-05,            na,            na,            na,            na,            na
2012-10-04,            na,            na,            na,            na,            na
